Date,Open,High,Low,Close,Adj Close,Volume
2015-09-04,6754.000000,6754.000000,6535.000000,6611.500000,6597.428711,751
2015-09-07,6725.700195,6760.350098,6440.000000,6481.899902,6468.104004,610
2015-09-08,6550.000000,6600.000000,6335.000000,6549.750000,6535.810059,747
2015-09-09,6848.950195,6850.000000,6579.950195,6728.149902,6713.830078,906
2015-09-10,6650.000000,7001.350098,6502.500000,6977.000000,6962.150391,707
2015-09-11,7047.250000,7050.000000,6911.149902,7023.299805,7008.351563,748
2015-09-14,7014.250000,7183.350098,7014.250000,7077.549805,7062.486328,329
2015-09-15,7111.600098,7138.000000,6882.000000,6945.200195,6930.418457,244
2015-09-16,7002.000000,7030.000000,6902.000000,6981.850098,6966.990234,312
2015-09-18,6981.850098,7096.899902,6889.600098,6911.100098,6896.391113,445
2015-09-21,6989.149902,7006.549805,6770.000000,6827.700195,6813.168457,520
2015-09-22,6851.200195,6981.000000,6821.000000,6848.649902,6834.073730,446
2015-09-23,6800.000000,7000.000000,6700.000000,6961.899902,6947.082520,886
2015-09-24,6987.500000,7073.000000,6986.700195,7056.149902,7041.131836,239
2015-09-28,7056.149902,7162.500000,6985.000000,7000.149902,6985.250977,1402
2015-09-29,6950.000000,6974.799805,6785.000000,6879.350098,6864.708496,1054
2015-09-30,6869.100098,6894.000000,6800.000000,6856.000000,6841.407715,768
2015-10-01,null,null,null,null,null,null
2015-10-05,null,null,null,null,null,null
2015-10-06,6868.000000,6885.000000,6750.000000,6825.450195,6810.923340,653
2015-10-07,6825.000000,6925.000000,6825.000000,6896.700195,6882.021973,224
2015-10-08,6885.700195,7390.000000,6881.000000,7164.799805,7149.550293,2202
2015-10-09,7229.399902,7400.000000,7130.000000,7323.950195,7308.361816,1437
2015-10-12,7350.000000,7350.000000,7110.500000,7215.000000,7199.644043,434
2015-10-13,7240.000000,7320.500000,7163.799805,7190.149902,7174.846680,1455
2015-10-14,7133.000000,7210.000000,7029.100098,7097.299805,7082.194336,2311
2015-10-15,7103.700195,7128.799805,7018.049805,7056.799805,7041.780273,892
2015-10-16,7060.649902,7060.649902,7000.000000,7010.399902,6995.479492,434
2015-10-19,7032.299805,7179.100098,7014.649902,7123.399902,7108.238770,485
2015-10-20,7084.950195,7200.000000,7025.000000,7116.950195,7101.802734,542
2015-10-21,7084.000000,7252.000000,7001.000000,7166.049805,7150.797852,744
2015-10-23,7166.049805,7300.000000,7150.000000,7179.799805,7164.518555,463
2015-10-26,7166.000000,7199.750000,7075.000000,7105.000000,7089.877930,179
2015-10-27,7115.049805,7154.000000,7007.450195,7032.649902,7017.682129,821
2015-10-28,6995.000000,7029.000000,6910.000000,6933.750000,6918.992676,128
2015-10-29,6881.799805,6887.000000,6710.000000,6765.700195,6751.300293,668
2015-10-30,null,null,null,null,null,null
2015-11-02,6645.000000,6650.000000,6490.000000,6527.450195,6513.557617,389
2015-11-03,6615.000000,6826.950195,6615.000000,6814.250000,6799.746582,566
2015-11-04,6862.100098,6889.549805,6651.000000,6710.350098,6696.068359,278
2015-11-05,6783.500000,6783.500000,6664.950195,6687.700195,6673.466309,6484
2015-11-06,6696.200195,6741.000000,6580.000000,6650.899902,6636.744629,139
2015-11-09,6500.000000,6750.899902,6467.399902,6570.049805,6556.066406,2630
2015-11-10,6615.250000,6705.000000,6500.000000,6527.149902,6513.257813,623
2015-11-13,6527.149902,6659.000000,6500.000000,6520.750000,6506.871582,353
2015-11-16,6552.750000,6599.149902,6361.000000,6468.450195,6454.683105,470
2015-11-17,6419.149902,6470.950195,6390.000000,6429.200195,6415.516602,572
2015-11-18,null,null,null,null,null,null
2015-11-19,6500.000000,6650.000000,6450.000000,6502.750000,6488.909668,408
2015-11-20,null,null,null,null,null,null
2015-11-23,6699.000000,6699.000000,6471.049805,6485.600098,6471.796387,493
2015-11-24,6460.399902,6475.799805,6195.000000,6302.750000,6289.335449,1444
2015-11-26,6302.750000,6350.000000,6060.000000,6087.049805,6074.094238,645
2015-11-27,6111.500000,6349.000000,6052.000000,6262.100098,6248.771973,1262
2015-11-30,6234.649902,6310.000000,6150.000000,6260.299805,6246.975586,5491
