Date,Open,High,Low,Close,Adj Close,Volume
2015-09-03,456.019989,461.000000,450.000000,452.269989,445.074493,16195
2015-09-04,451.470001,452.399994,444.000000,450.049988,442.889740,25915
2015-09-07,459.799988,459.799988,430.809998,435.559998,428.630310,58510
2015-09-08,438.000000,439.799988,412.000000,435.850006,428.915710,38560
2015-09-09,445.000000,448.000000,432.200012,441.170013,434.151093,20900
2015-09-10,430.000000,443.959991,427.779999,437.209991,430.254089,21975
2015-09-11,444.000000,449.660004,435.420013,440.570007,433.560608,28010
2015-09-14,442.000000,449.589996,441.809998,445.350006,438.264557,21935
2015-09-15,444.980011,449.170013,441.950012,445.000000,437.920135,11050
2015-09-16,452.000000,454.660004,447.000000,449.970001,442.811035,30595
2015-09-18,449.970001,460.369995,449.970001,453.529999,446.314453,37540
2015-09-21,445.869995,457.459991,444.519989,452.739990,445.537018,25150
2015-09-22,452.040009,466.440002,445.750000,448.299988,441.167664,57365
2015-09-23,445.000000,456.000000,442.000000,452.600006,445.399231,27600
2015-09-24,456.200012,462.489990,454.940002,457.119995,449.847321,31105
2015-09-28,457.119995,489.799988,454.239990,480.269989,472.628998,92690
2015-09-29,474.000000,479.040009,467.510010,478.019989,470.414795,41320
2015-09-30,478.000000,504.000000,478.000000,493.709991,485.855164,99145
2015-10-01,501.799988,502.000000,480.010010,489.119995,481.338196,58600
2015-10-05,489.119995,500.000000,489.119995,498.369995,490.441010,41730
2015-10-06,499.459991,504.000000,494.000000,499.299988,491.356232,45305
2015-10-07,498.420013,498.420013,494.390015,496.029999,488.138245,6420
2015-10-08,498.399994,499.000000,476.399994,490.269989,482.469910,50075
2015-10-09,499.799988,499.799988,489.600006,495.429993,487.547821,14515
2015-10-12,498.600006,501.000000,492.809998,499.790009,491.838470,17590
2015-10-13,499.600006,503.980011,491.399994,502.170013,494.180603,90925
2015-10-14,502.000000,538.400024,502.000000,518.789978,510.536133,273780
2015-10-15,522.000000,522.000000,514.039978,516.409973,508.194000,36030
2015-10-16,527.000000,527.000000,515.989990,518.840027,510.585327,18845
2015-10-19,520.000000,527.510010,517.000000,519.210022,510.949493,30810
2015-10-20,520.000000,528.099976,518.809998,521.719971,513.419556,31270
2015-10-21,522.020020,527.549988,519.000000,521.619995,513.321106,30125
2015-10-23,521.619995,522.070007,505.100006,513.020020,504.857971,29610
2015-10-26,518.190002,518.190002,512.200012,512.960022,504.798950,8055
2015-10-27,512.590027,517.869995,510.040009,512.239990,504.090363,15435
2015-10-28,513.000000,521.460022,511.600006,515.070007,506.875336,34960
2015-10-29,518.000000,518.210022,512.000000,513.200012,505.035126,11040
2015-10-30,513.200012,517.599976,506.279999,513.309998,505.143341,32620
2015-11-02,512.000000,520.000000,504.000000,509.109985,501.010162,16990
2015-11-03,510.839996,512.489990,504.200012,505.709991,497.664246,3540
2015-11-04,509.109985,513.200012,503.920013,506.700012,498.638489,28805
2015-11-05,507.399994,513.890015,502.489990,505.279999,497.241119,44740
2015-11-06,507.480011,508.380005,488.570007,493.859985,486.002777,37630
2015-11-09,490.000000,495.390015,480.000000,493.170013,485.323730,16385
