Date,Open,Close,Pct_change_OC
"Nov 11, 2016",14.9,14.56,-2.2818791946308714
"Nov 15, 2016",14.56,15.33,5.288461538461536
"Nov 16, 2016",15.55,14.82,-4.69453376205788
"Nov 17, 2016",14.9,14.52,-2.550335570469804
"Nov 18, 2016",14.51,14.78,1.8607856650585775
"Nov 21, 2016",15.0,13.97,-6.866666666666663
"Nov 22, 2016",14.25,14.08,-1.1929824561403504
"Nov 23, 2016",14.22,14.21,-0.07032348804500553
"Nov 24, 2016",14.15,14.35,1.4134275618374508
"Nov 25, 2016",14.5,14.58,0.5517241379310349
"Nov 28, 2016",14.65,14.87,1.5017064846416304
"Nov 29, 2016",14.9,14.82,-0.5369127516778528
"Nov 30, 2016",14.8,14.78,-0.13513513513514425
"Dec 01, 2016",14.9,14.82,-0.5369127516778528
"Dec 02, 2016",14.85,14.62,-1.5488215488215518
"Dec 05, 2016",14.65,14.62,-0.2047781569965948
"Dec 06, 2016",14.65,14.61,-0.2730375426621223
"Dec 07, 2016",14.62,14.54,-0.5471956224350211
"Dec 08, 2016",14.6,14.96,2.4657534246575423
"Dec 09, 2016",15.14,14.78,-2.377807133421408
"Dec 12, 2016",14.7,14.64,-0.40816326530611374
"Dec 13, 2016",14.64,14.71,0.47814207650273416
"Dec 14, 2016",14.71,14.45,-1.7675050985724103
"Dec 15, 2016",14.5,14.39,-0.7586206896551685
"Dec 16, 2016",14.4,14.41,0.06944444444444296
"Dec 19, 2016",14.45,14.3,-1.0380622837370144
"Dec 20, 2016",14.31,14.15,-1.1180992313067795
"Dec 21, 2016",14.25,14.04,-1.473684210526322
"Dec 22, 2016",14.0,14.0,0.0
"Dec 23, 2016",14.05,13.97,-0.5693950177935948
"Dec 26, 2016",13.98,13.7,-2.0028612303290494
"Dec 27, 2016",13.7,13.78,0.5839416058394167
"Dec 28, 2016",13.87,13.66,-1.5140591204037426
"Dec 29, 2016",13.75,13.69,-0.43636363636364
"Dec 30, 2016",13.72,13.82,0.7288629737609303
"Jan 02, 2017",13.9,14.09,1.3669064748201403
"Jan 03, 2017",14.05,14.22,1.2099644128113873
"Jan 04, 2017",14.2,14.93,5.140845070422539
"Jan 05, 2017",15.1,15.14,0.26490066225166176
"Jan 06, 2017",15.19,14.71,-3.1599736668861005
"Jan 09, 2017",14.75,14.99,1.627118644067798
"Jan 10, 2017",14.9,14.95,0.3355704697986506
"Jan 11, 2017",15.08,15.36,1.8567639257294388
"Jan 12, 2017",15.3,15.18,-0.7843137254902025
"Jan 13, 2017",15.4,15.04,-2.3376623376623455
"Jan 16, 2017",15.07,15.2,0.8626410086264035
"Jan 17, 2017",15.45,15.67,1.423948220064729
"Jan 18, 2017",15.7,15.76,0.3821656050955446
"Jan 19, 2017",15.84,17.16,8.333333333333336
"Jan 20, 2017",17.25,17.35,0.5797101449275445
"Jan 23, 2017",17.46,17.53,0.4009163802978252
"Jan 24, 2017",17.69,17.04,-3.6743923120407125
"Jan 25, 2017",17.15,17.18,0.17492711370263056
