Date,Open,Close,Pct_change_OC
"Nov 11, 2016",132.5,125.49,-5.290566037735853
"Nov 15, 2016",127.9,124.26,-2.8459734167318222
"Nov 16, 2016",127.7,126.66,-0.8144087705559956
"Nov 17, 2016",129.55,126.71,-2.192203782323441
"Nov 18, 2016",129.65,127.55,-1.6197454685692312
"Nov 21, 2016",129.7,123.97,-4.417887432536616
"Nov 22, 2016",127.0,124.16,-2.2362204724409476
"Nov 23, 2016",127.5,123.77,-2.9254901960784343
"Nov 24, 2016",126.0,124.95,-0.833333333333331
"Nov 25, 2016",127.65,128.43,0.6110458284371336
"Nov 28, 2016",134.8,127.5,-5.415430267062322
"Nov 29, 2016",132.75,129.31,-2.5913370998116743
"Nov 30, 2016",133.95,129.46,-3.3519970138111095
"Dec 01, 2016",132.6,129.61,-2.254901960784299
"Dec 02, 2016",134.5,129.71,-3.561338289962819
"Dec 05, 2016",132.15,128.14,-3.0344305713204838
"Dec 06, 2016",132.8,129.51,-2.477409638554232
"Dec 07, 2016",131.3,127.4,-2.9702970297029743
"Dec 08, 2016",132.85,129.26,-2.702295822356043
"Dec 09, 2016",134.0,131.08,-2.179104477611931
"Dec 12, 2016",133.5,128.68,-3.610486891385763
"Dec 13, 2016",131.7,131.42,-0.21260440394836838
"Dec 14, 2016",134.5,132.55,-1.4498141263940436
"Dec 15, 2016",135.85,135.84,-0.007361059992632245
"Dec 16, 2016",138.85,134.66,-3.0176449405833616
"Dec 19, 2016",137.95,135.3,-1.9209858644436226
"Dec 20, 2016",141.0,134.17,-4.843971631205682
"Dec 21, 2016",139.7,135.35,-3.113815318539724
"Dec 22, 2016",136.95,134.61,-1.7086527929901243
"Dec 23, 2016",138.05,134.22,-2.7743571169866077
"Dec 26, 2016",137.35,132.16,-3.7786676374226413
"Dec 27, 2016",135.5,131.57,-2.900369003690042
"Dec 28, 2016",135.0,132.35,-1.962962962962967
"Dec 29, 2016",134.9,130.93,-2.942920681986656
"Dec 30, 2016",134.25,131.47,-2.0707635009310996
"Jan 02, 2017",133.0,132.75,-0.18796992481203006
"Jan 03, 2017",136.0,133.04,-2.1764705882352997
"Jan 04, 2017",135.95,134.61,-0.9856564913570983
"Jan 05, 2017",139.9,135.05,-3.466761972837737
"Jan 06, 2017",138.0,132.16,-4.231884057971017
"Jan 09, 2017",134.55,134.66,0.08175399479746208
"Jan 10, 2017",137.9,135.89,-1.457577955039898
"Jan 11, 2017",139.0,135.69,-2.3812949640287786
"Jan 12, 2017",139.5,136.92,-1.8494623655914069
"Jan 13, 2017",140.95,139.22,-1.2273855977296844
"Jan 16, 2017",144.0,140.35,-2.534722222222226
"Jan 17, 2017",143.05,140.79,-1.5798671793079477
"Jan 18, 2017",143.8,142.22,-1.0987482614742785
"Jan 19, 2017",141.0,135.74,-3.730496453900703
"Jan 20, 2017",138.9,134.46,-3.1965442764578813
"Jan 23, 2017",137.5,133.78,-2.7054545454545447
"Jan 24, 2017",136.0,133.09,-2.139705882352939
"Jan 25, 2017",136.3,131.86,-3.2575201760821697
"Jan 27, 2017",134.4,134.42,0.014880952380938846
"Jan 30, 2017",137.0,132.89,-3.0000000000000098
"Jan 31, 2017",135.5,127.84,-5.653136531365311
"Feb 01, 2017",130.0,127.74,-1.7384615384615425
"Feb 02, 2017",130.5,130.49,-0.007662835249035177
"Feb 03, 2017",133.3,130.05,-2.438109527381845
"Feb 06, 2017",133.2,129.85,-2.515015015015011
"Feb 07, 2017",136.7,129.9,-4.974396488661291
"Feb 08, 2017",132.55,130.49,-1.5541305167861201
"Feb 09, 2017",135.0,130.88,-3.0518518518518554
"Feb 10, 2017",133.65,132.06,-1.189674523007859
"Feb 13, 2017",135.0,131.18,-2.8296296296296246
"Feb 14, 2017",134.0,129.56,-3.313432835820894
"Feb 15, 2017",132.6,127.5,-3.8461538461538423
"Feb 16, 2017",132.0,129.22,-2.106060606060607
"Feb 17, 2017",133.0,129.36,-2.7368421052631478
"Feb 20, 2017",132.15,130.25,-1.4377601210745408
"Feb 21, 2017",133.0,132.21,-0.5939849624060091
"Feb 22, 2017",135.3,131.03,-3.1559497413156024
"Feb 23, 2017",133.05,135.49,1.8338970311912797
"Feb 27, 2017",138.1,136.52,-1.144098479362769
"Feb 28, 2017",140.0,135.2,-3.4285714285714364
"Mar 01, 2017",138.7,135.84,-2.062004325883191
"Mar 02, 2017",139.0,132.16,-4.92086330935252
"Mar 03, 2017",135.45,132.45,-2.2148394241417497
"Mar 06, 2017",136.0,132.01,-2.933823529411771
"Mar 07, 2017",134.2,132.65,-1.1549925484351586
"Mar 08, 2017",136.0,130.29,-4.198529411764712
"Mar 09, 2017",133.0,130.25,-2.0676691729323307
"Mar 10, 2017",132.5,130.1,-1.8113207547169854
"Mar 14, 2017",132.6,129.71,-2.1794871794871695
"Mar 15, 2017",132.5,128.82,-2.777358490566043
"Mar 16, 2017",131.3,130.69,-0.4645849200304749
"Mar 17, 2017",133.0,132.55,-0.33834586466164557
"Mar 20, 2017",136.65,131.86,-3.5053055250640264
"Mar 21, 2017",134.95,131.08,-2.8677287884401452
"Mar 22, 2017",133.25,129.26,-2.994371482176367
"Mar 23, 2017",132.0,129.41,-1.9621212121212146
"Mar 24, 2017",131.85,129.66,-1.6609783845278707
"Mar 27, 2017",134.5,127.65,-5.092936802973973
"Mar 28, 2017",133.0,128.72,-3.218045112781956
"Mar 29, 2017",131.0,128.38,-2.0000000000000036
"Mar 30, 2017",0.0,0.0,999.0
"Mar 31, 2017",130.4,127.2,-2.453987730061352
"Apr 03, 2017",130.0,127.74,-1.7384615384615425
05-Apr-2017,130.2,128.33,-1.4362519201228696
06-Apr-2017,130.0,128.14,-1.4307692307692412
07-Apr-2017,129.8,127.79,-1.5485362095531625
10-Apr-2017,130.25,126.91,-2.5642994241842634
11-Apr-2017,129.2,126.22,-2.3065015479876085
12-Apr-2017,128.1,128.72,0.4839968774395039
13-Apr-2017,132.0,126.76,-3.969696969696966
17-Apr-2017,129.2,126.76,-1.8885448916408543
18-Apr-2017,128.4,126.08,-1.8068535825545229
19-Apr-2017,128.75,124.9,-2.990291262135918
20-Apr-2017,127.5,124.8,-2.1176470588235317
21-Apr-2017,127.0,128.63,1.2834645669291302
24-Apr-2017,131.2,128.48,-2.0731707317073167
25-Apr-2017,131.45,128.58,-2.183339672879404
26-Apr-2017,131.7,126.96,-3.5990888382687896
27-Apr-2017,129.95,125.73,-3.2474028472489307
28-Apr-2017,129.15,125.78,-2.6093689508323687
02-May-2017,128.2,130.15,1.5210608424337106
03-May-2017,134.0,129.22,-3.5671641791044784
04-May-2017,132.5,127.94,-3.4415094339622656
05-May-2017,0.0,0.0,999.0
08-May-2017,129.0,126.47,-1.9612403100775202
