Date,Open,Close,Pct_change_OC
"Nov 11, 2016",97.65,92.55,-5.222734254992328
"Nov 15, 2016",95.8,90.47,-5.56367432150313
"Nov 16, 2016",94.0,92.79,-1.287234042553185
"Nov 17, 2016",95.4,91.24,-4.360587002096447
"Nov 18, 2016",94.8,92.11,-2.8375527426160314
"Nov 21, 2016",95.35,87.91,-7.8028316727844755
"Nov 22, 2016",92.25,89.7,-2.7642276422764196
"Nov 23, 2016",94.3,88.35,-6.309650053022272
"Nov 24, 2016",91.45,89.75,-1.8589393110989643
"Nov 25, 2016",91.85,89.84,-2.1883505715840945
"Nov 28, 2016",94.45,90.81,-3.8538909475913186
"Nov 29, 2016",94.8,88.68,-6.455696202531636
"Nov 30, 2016",93.0,93.85,0.9139784946236499
"Dec 01, 2016",97.85,92.26,-5.71282575370464
"Dec 02, 2016",95.15,91.73,-3.5943247503941165
"Dec 05, 2016",93.7,89.84,-4.119530416221984
"Dec 06, 2016",94.15,88.83,-5.650557620817851
"Dec 07, 2016",92.0,88.15,-4.184782608695646
"Dec 08, 2016",91.9,88.44,-3.7649619151251446
"Dec 09, 2016",91.65,89.02,-2.86961265684671
"Dec 12, 2016",92.25,89.07,-3.447154471544723
"Dec 13, 2016",92.35,89.75,-2.815376285868971
"Dec 14, 2016",92.5,89.55,-3.189189189189192
"Dec 15, 2016",91.85,89.5,-2.558519324986385
"Dec 16, 2016",93.2,93.47,0.2896995708154464
"Dec 19, 2016",97.3,92.16,-5.2826310380267225
"Dec 20, 2016",96.9,93.42,-3.591331269349849
"Dec 21, 2016",98.0,92.31,-5.80612244897959
"Dec 22, 2016",95.9,93.08,-2.9405630865484955
"Dec 23, 2016",96.95,93.13,-3.940175348117594
"Dec 26, 2016",95.9,93.37,-2.638164754953077
"Dec 27, 2016",96.5,92.98,-3.6476683937823795
"Dec 28, 2016",96.85,91.39,-5.637583892617443
"Dec 29, 2016",95.25,92.5,-2.8871391076115485
"Dec 30, 2016",96.7,90.71,-6.194415718717693
"Jan 02, 2017",94.1,90.91,-3.390010626992559
"Jan 03, 2017",93.6,91.87,-1.8482905982905875
"Jan 04, 2017",94.8,94.19,-0.6434599156118137
"Jan 05, 2017",97.75,93.95,-3.8874680306905343
"Jan 06, 2017",98.4,91.78,-6.727642276422769
