Date,Open,Close
"Nov 11, 2016",315.5,298.27
"Nov 15, 2016",300.35,281.58
"Nov 16, 2016",278.35,290.72
"Nov 17, 2016",296.05,289.93
"Nov 18, 2016",290.7,293.45
"Nov 21, 2016",295.85,284.81
"Nov 22, 2016",289.3,290.82
"Nov 23, 2016",295.0,301.35
"Nov 24, 2016",305.0,296.98
"Nov 25, 2016",301.2,302.09
"Nov 28, 2016",303.6,311.77
"Nov 29, 2016",315.0,308.69
"Nov 30, 2016",313.65,310.53
"Dec 01, 2016",313.95,304.72
"Dec 02, 2016",306.8,296.83
"Dec 05, 2016",303.0,303.33
"Dec 06, 2016",306.0,303.63
"Dec 07, 2016",308.45,309.94
"Dec 08, 2016",311.6,314.55
"Dec 09, 2016",314.85,310.93
"Dec 12, 2016",313.6,312.37
"Dec 13, 2016",314.55,313.31
"Dec 14, 2016",315.25,321.06
"Dec 15, 2016",324.95,315.5
"Dec 16, 2016",320.0,319.87
"Dec 19, 2016",320.0,318.77
"Dec 20, 2016",318.2,314.5
"Dec 21, 2016",315.0,311.28
"Dec 22, 2016",313.0,305.52
"Dec 23, 2016",307.0,306.91
"Dec 26, 2016",309.0,298.42
"Dec 27, 2016",303.0,305.62
"Dec 28, 2016",310.0,315.84
"Dec 29, 2016",319.2,319.12
"Dec 30, 2016",321.4,320.01
"Jan 02, 2017",328.0,326.42
"Jan 03, 2017",332.8,324.38
"Jan 04, 2017",329.8,325.28
"Jan 05, 2017",328.2,324.33
"Jan 06, 2017",328.0,325.23
"Jan 09, 2017",329.6,323.39
"Jan 10, 2017",327.0,330.89
"Jan 11, 2017",335.0,332.48
"Jan 12, 2017",337.0,336.65
"Jan 13, 2017",337.1,328.6
"Jan 16, 2017",331.0,327.46
"Jan 17, 2017",332.0,337.1
"Jan 18, 2017",339.45,335.46
"Jan 19, 2017",335.7,338.78
"Jan 20, 2017",342.8,332.97
"Jan 23, 2017",339.0,328.56
"Jan 24, 2017",332.0,333.77
"Jan 25, 2017",341.0,331.04
"Jan 27, 2017",333.35,334.76
"Jan 30, 2017",338.5,333.77
"Jan 31, 2017",335.5,333.52
"Feb 01, 2017",338.35,352.04
"Feb 02, 2017",354.1,345.59
"Feb 03, 2017",351.9,352.64
"Feb 06, 2017",357.0,352.34
"Feb 07, 2017",358.0,356.16
"Feb 08, 2017",361.8,356.96
"Feb 09, 2017",359.9,357.5
"Feb 10, 2017",361.8,363.76
"Feb 13, 2017",367.3,364.95
"Feb 14, 2017",365.0,362.07
"Feb 15, 2017",365.0,381.19
"Feb 16, 2017",384.3,381.24
"Feb 17, 2017",383.95,374.04
"Feb 20, 2017",378.4,367.38
"Feb 21, 2017",370.55,366.04
"Feb 22, 2017",369.0,365.6
"Feb 23, 2017",365.0,370.16
"Feb 27, 2017",372.75,365.84
"Feb 28, 2017",367.85,370.07
"Mar 01, 2017",373.95,370.81
"Mar 02, 2017",375.0,372.8
"Mar 03, 2017",375.65,372.05
"Mar 06, 2017",376.75,366.84
"Mar 07, 2017",372.0,361.57
"Mar 08, 2017",364.05,362.22
"Mar 09, 2017",367.0,370.76
"Mar 10, 2017",375.2,373.39
"Mar 14, 2017",376.0,371.9
"Mar 15, 2017",372.0,365.25
"Mar 16, 2017",370.0,363.11
"Mar 17, 2017",366.95,369.02
"Mar 20, 2017",371.5,375.08
"Mar 21, 2017",379.0,376.87
"Mar 22, 2017",377.55,370.46
"Mar 23, 2017",375.05,367.28
"Mar 24, 2017",372.75,373.14
"Mar 27, 2017",374.1,368.38
"Mar 28, 2017",375.25,368.38
"Mar 29, 2017",372.0,405.17
"Mar 30, 2017",402.9,400.7
"Mar 31, 2017",398.8,393.01
"Apr 03, 2017",395.0,394.94
05-Apr-2017,397.7,390.77
06-Apr-2017,395.0,386.35
07-Apr-2017,390.0,377.91
10-Apr-2017,380.55,383.37
11-Apr-2017,387.0,381.44
12-Apr-2017,386.35,375.78
13-Apr-2017,380.0,374.88
17-Apr-2017,377.5,367.24
18-Apr-2017,388.0,389.18
19-Apr-2017,395.8,387.39
20-Apr-2017,389.25,385.66
21-Apr-2017,397.75,388.49
24-Apr-2017,393.1,384.17
25-Apr-2017,388.7,391.07
26-Apr-2017,394.65,381.63
27-Apr-2017,389.75,397.87
28-Apr-2017,400.4,393.9
02-May-2017,396.65,389.98
03-May-2017,395.75,399.11
04-May-2017,406.1,412.27
05-May-2017,415.9,417.73
08-May-2017,420.2,411.63
09-May-2017,417.95,409.24
10-May-2017,416.05,417.58
11-May-2017,424.35,418.87
12-May-2017,424.95,414.7
15-May-2017,418.0,413.21
16-May-2017,419.25,415.3
17-May-2017,415.1,415.99
18-May-2017,413.4,407.85
19-May-2017,413.45,394.1
22-May-2017,402.2,386.0
23-May-2017,390.0,378.21
24-May-2017,382.65,396.28
25-May-2017,402.0,391.22
26-May-2017,393.4,392.31
29-May-2017,394.9,391.12
30-May-2017,391.05,388.09
31-May-2017,388.6,392.36
01-Jun-2017,387.0,390.57
02-Jun-2017,396.05,400.9
05-Jun-2017,408.0,399.0
06-Jun-2017,401.95,399.9
07-Jun-2017,399.9,405.7
08-Jun-2017,407.9,408.85
09-Jun-2017,406.85,426.75
12-Jun-2017,431.0,444.65
13-Jun-2017,446.0,444.95
14-Jun-2017,445.55,439.25
15-Jun-2017,440.0,445.6
16-Jun-2017,445.0,444.5
19-Jun-2017,448.3,439.3
20-Jun-2017,441.75,442.75
21-Jun-2017,443.0,445.85
22-Jun-2017,449.0,449.6
23-Jun-2017,450.0,436.0
27-Jun-2017,436.0,425.3
28-Jun-2017,420.8,423.75
29-Jun-2017,428.95,423.2
30-Jun-2017,417.0,443.15
03-Jul-2017,444.0,441.5
04-Jul-2017,447.9,439.0
05-Jul-2017,440.2,455.65
06-Jul-2017,463.05,466.3
07-Jul-2017,468.45,485.45
10-Jul-2017,494.85,496.5
11-Jul-2017,496.85,482.7
12-Jul-2017,484.05,500.55
13-Jul-2017,506.05,508.0
14-Jul-2017,509.45,502.6
17-Jul-2017,500.0,494.05
18-Jul-2017,496.0,492.2
19-Jul-2017,489.0,488.8
20-Jul-2017,490.25,483.15
21-Jul-2017,481.0,476.15
24-Jul-2017,478.3,466.95
25-Jul-2017,461.15,461.85
26-Jul-2017,465.35,458.2
27-Jul-2017,459.5,478.05
28-Jul-2017,479.0,474.8
31-Jul-2017,479.9,489.6
01-Aug-2017,497.0,503.2
02-Aug-2017,503.2,501.65
03-Aug-2017,503.0,502.45
04-Aug-2017,497.05,503.6
07-Aug-2017,501.5,506.65
08-Aug-2017,503.7,496.65
09-Aug-2017,492.0,479.45
10-Aug-2017,485.0,463.8
11-Aug-2017,464.0,466.15
14-Aug-2017,470.25,464.9
16-Aug-2017,464.9,473.4
17-Aug-2017,479.0,482.7
18-Aug-2017,479.8,482.3
21-Aug-2017,485.0,496.4
22-Aug-2017,502.95,507.55
23-Aug-2017,509.0,503.25
24-Aug-2017,505.0,511.65
28-Aug-2017,511.65,511.65
